channel_id,channel_title,channel_desc,subscriber_count,video_count,view_count,channel_published_at
UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,"What's up, Data Nerds! I'm Luke, a data analyst who loves making tutorials.

❓ If you have a question, drop a comment in any video. 

📩 Email is for business inquiries only, please.


",585000,165,29472199,2020-08-03T09:02:41.213077Z
UCepBxbSrGZkgjgGJuY04c-Q,Professor Of How,I turn complicated topics into visual stories you’ll never forget.,14800000,430,5651303423,2017-05-21T08:18:53Z
